"V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1550858942","845661b29bd302686e29263fa1cf016c","Form",0,0,"intro","NULL","age","27"
"1550858942","845661b29bd302686e29263fa1cf016c","Form",0,0,"intro","NULL","consent","yes"
"1550858942","845661b29bd302686e29263fa1cf016c","Form",0,0,"intro","NULL","Spain","Si"
"1550858942","845661b29bd302686e29263fa1cf016c","Form",0,0,"intro","NULL","Spanish","Si"
"1550858942","845661b29bd302686e29263fa1cf016c","Form",0,0,"intro","NULL","sex","female"
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",5,0,"practice","NULL","Susurró por qué lo había hecho.",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",5,0,"practice","NULL","NULL","6"
"NULL","11506","",NA,NA,"","","",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",2,0,"practice","NULL","¿Qué poema conoces a la mujer que escribía?",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",2,0,"practice","NULL","NULL","1"
"NULL","6167","",NA,NA,"","","",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",4,0,"practice","NULL","¿Qué coche que te has comprado?",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",4,0,"practice","NULL","NULL","2"
"NULL","4563","",NA,NA,"","","",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",6,0,"practice","NULL","María no sabe qué libro leyó Juan.",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",6,0,"practice","NULL","NULL","7"
"NULL","12248","",NA,NA,"","","",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",1,0,"practice","NULL","Pintó el artista retratos terribles.",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",1,0,"practice","NULL","NULL","5"
"NULL","10050","",NA,NA,"","","",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",3,0,"practice","NULL","¿A quién le mandó qué libro?",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",3,0,"practice","NULL","NULL","7"
"NULL","3829","",NA,NA,"","","",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",117,0,"filler_gram","NULL","A muchos de los nadadores no les hizo gracia que el ayuntamiento decidiera cerrar la piscina municipal.",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",117,0,"filler_gram","NULL","NULL","7"
"NULL","7230","",NA,NA,"","","",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",136,0,"filler_ungram","NULL","¿María ha descubierto que los contratos que firmaron la constructora no cumplen con la nueva normativa europea?",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",136,0,"filler_ungram","NULL","NULL","3"
"NULL","10637","",NA,NA,"","","",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",82,0,"wh_short","4","¿A qué actriz le han dedicado la canción que aparece en la película como muestra de admiración?",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",82,0,"wh_short","4","NULL","5"
"NULL","9629","",NA,NA,"","","",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",105,0,"filler_gram","NULL","¿A quién crees que han pillado robando latas de cerveza en el centro comercial de la esquina?",""
"1550858942","845661b29bd302686e29263fa1cf016c","AcceptabilityJudgment",105,0,"filler_gram","NULL","NULL","7"
"NULL","4376","",NA,NA,"","","",""
